"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"1";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"2";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"3";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"4";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"1";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"2";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"3";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"4";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"1";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"2";"6.80388555";"7";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"3";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"1";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"2";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"3";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"1";"0.0";"4";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"2";"0.0";"7";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"3";"0.0";"4";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"4";"0.0";"4";"";"";"";"";"8 rep"
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"1";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"2";"65.090505095";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"3";"65.090505095";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"4";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"1";"";"5";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"2";"";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"3";"";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"4";"";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"2";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"3";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"1";"6.80388555";"6";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"2";"6.80388555";"11";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"3";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"4";"6.80388555";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"1";"65.090505095";"5";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"2";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"3";"65.090505095";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"4";"65.090505095";"0";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Pistol Squat";"1";"65.090505095";"0";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"1";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"2";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"3";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"4";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Inverted Row (Bodyweight)";"1";"";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Inverted Row (Bodyweight)";"2";"";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Inverted Row (Bodyweight)";"3";"";"15";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Inverted Row (Bodyweight)";"4";"";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Lateral Raise (Dumbbell)";"1";"2.2679618500000003";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Lateral Raise (Dumbbell)";"2";"2.2679618500000003";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Lateral Raise (Dumbbell)";"3";"2.2679618500000003";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Lateral Raise (Dumbbell)";"4";"2.2679618500000003";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Bicep Curl (Dumbbell)";"1";"4.535923700000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Bicep Curl (Dumbbell)";"2";"4.535923700000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Bicep Curl (Dumbbell)";"3";"4.535923700000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Bicep Curl (Dumbbell)";"4";"4.535923700000001";"20";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Triceps Dip";"1";"71.531516749";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Triceps Dip";"2";"71.531516749";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Triceps Dip";"3";"71.531516749";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Triceps Dip";"4";"71.531516749";"3";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Pull Up";"1";"66.99559304900001";"3";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Pull Up";"2";"69.26355489900001";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Pull Up";"3";"69.26355489900001";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Pull Up";"4";"69.26355489900001";"3";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Front Raise (Dumbbell)";"1";"9.071847400000001";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Front Raise (Dumbbell)";"2";"9.071847400000001";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Front Raise (Dumbbell)";"3";"9.071847400000001";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Front Raise (Dumbbell)";"4";"9.071847400000001";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Bicep Curl (Dumbbell)";"1";"11.33980925";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Bicep Curl (Dumbbell)";"2";"11.33980925";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Bicep Curl (Dumbbell)";"3";"11.33980925";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Bicep Curl (Dumbbell)";"4";"11.33980925";"5";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Tricep Curl ";"1";"66.99559304900001";"3";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Tricep Curl ";"2";"66.99559304900001";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Tricep Curl ";"3";"66.99559304900001";"4";"";"";"";"";""
"4";"2020-04-25 11:09:49";"Hypertrophy 2: 3-5";"4155";"Tricep Curl ";"4";"66.99559304900001";"5";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Triceps Dip";"1";"67.26774847100002";"2";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Triceps Dip";"2";"67.26774847100002";"5";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Triceps Dip";"3";"67.26774847100002";"5";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Triceps Dip";"4";"67.26774847100002";"4";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Pull Up";"1";"67.26774847100002";"4";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Pull Up";"2";"67.26774847100002";"3";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Pull Up";"3";"67.26774847100002";"2";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Pull Up";"4";"67.26774847100002";"4";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Front Raise (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Front Raise (Dumbbell)";"2";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Front Raise (Dumbbell)";"3";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Front Raise (Dumbbell)";"4";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Bicep Curl (Dumbbell)";"1";"9.071847400000001";"10";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Bicep Curl (Dumbbell)";"2";"7.937866475000001";"8";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Bicep Curl (Dumbbell)";"3";"9.071847400000001";"8";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Bicep Curl (Dumbbell)";"4";"7.937866475000001";"9";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Tricep Curl ";"1";"67.26774847100002";"9";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Tricep Curl ";"2";"67.26774847100002";"10";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Tricep Curl ";"3";"67.26774847100002";"7";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Tricep Curl ";"4";"67.26774847100002";"11";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Chest Curls";"1";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Chest Curls";"2";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Chest Curls";"3";"6.80388555";"12";"";"";"";"";""
"5";"2020-04-29 14:46:34";"Hypertrophy 2";"3825";"Chest Curls";"4";"6.80388555";"12";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Push Up";"1";"67.26774847100002";"7";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Push Up";"2";"67.26774847100002";"12";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Push Up";"3";"67.26774847100002";"11";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Push Up";"4";"67.26774847100002";"8";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Inverted Row (Bodyweight)";"1";"";"8";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Inverted Row (Bodyweight)";"2";"";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Inverted Row (Bodyweight)";"3";"";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Inverted Row (Bodyweight)";"4";"";"5";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Lateral Raise (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Lateral Raise (Dumbbell)";"2";"6.80388555";"8";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Lateral Raise (Dumbbell)";"3";"6.80388555";"7";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Lateral Raise (Dumbbell)";"4";"6.80388555";"9";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Bicep Curl (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Bicep Curl (Dumbbell)";"2";"6.80388555";"14";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Bicep Curl (Dumbbell)";"3";"6.80388555";"11";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Bicep Curl (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Tricep Curl ";"1";"67.26774847100002";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Tricep Curl ";"2";"67.26774847100002";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Tricep Curl ";"3";"67.26774847100002";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Tricep Curl ";"4";"67.26774847100002";"10";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Chest Curls";"1";"6.80388555";"12";"";"";"";"";""
"6";"2020-05-01 13:14:45";"Hypertrophy 1";"3538";"Chest Curls";"2";"6.80388555";"12";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Push Up";"1";"69.082117951";"12";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Push Up";"2";"69.082117951";"9";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Push Up";"3";"69.082117951";"9";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Push Up";"4";"69.082117951";"12";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Inverted Row (Bodyweight)";"1";"";"8";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Inverted Row (Bodyweight)";"2";"";"11";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Inverted Row (Bodyweight)";"3";"";"12";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Inverted Row (Bodyweight)";"4";"";"9";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Lateral Raise (Dumbbell)";"1";"4.535923700000001";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Lateral Raise (Dumbbell)";"2";"4.535923700000001";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Lateral Raise (Dumbbell)";"3";"4.535923700000001";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Lateral Raise (Dumbbell)";"4";"4.535923700000001";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Bicep Curl (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Bicep Curl (Dumbbell)";"2";"6.80388555";"7";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Bicep Curl (Dumbbell)";"3";"6.80388555";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Bicep Curl (Dumbbell)";"4";"4.535923700000001";"13";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Tricep Curl ";"1";"69.082117951";"10";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Tricep Curl ";"2";"69.082117951";"7";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Tricep Curl ";"3";"69.082117951";"9";"";"";"";"";""
"7";"2020-06-14 13:07:50";"Hypertrophy 1";"4190";"Tricep Curl ";"4";"69.082117951";"10";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Rto Holds";"1";"";"";"";"";"11";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Rto Holds";"2";"";"";"";"";"5";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Rto Holds";"3";"";"";"";"";"3";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Rto Holds";"4";"";"";"";"";"8";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Pull Up";"1";"69.082117951";"5";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Pull Up";"2";"69.082117951";"5";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Pull Up";"3";"69.082117951";"7";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Pull Up";"4";"69.082117951";"3";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Front Raise (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Front Raise (Dumbbell)";"2";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Front Raise (Dumbbell)";"3";"6.80388555";"11";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Front Raise (Dumbbell)";"4";"6.80388555";"11";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Bicep Curl (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Bicep Curl (Dumbbell)";"2";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Bicep Curl (Dumbbell)";"3";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Bicep Curl (Dumbbell)";"4";"6.80388555";"12";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Tricep Curl ";"1";"69.082117951";"8";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Tricep Curl ";"2";"69.082117951";"10";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Tricep Curl ";"3";"69.082117951";"6";"";"";"";"";""
"8";"2020-06-16 14:56:08";"Hypertrophy 2: 10-12 Reps ";"3836";"Tricep Curl ";"4";"69.082117951";"8";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Rto Holds";"1";"";"";"";"";"9";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Rto Holds";"2";"";"";"";"";"15";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Rto Holds";"3";"";"";"";"";"20";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Rto Holds";"4";"";"";"";"";"10";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pull Up";"1";"69.490351084";"2";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pull Up";"2";"69.490351084";"4";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pull Up";"3";"69.490351084";"5";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pull Up";"4";"69.490351084";"5";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Front Raise (Dumbbell)";"1";"3.401942775";"20";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Front Raise (Dumbbell)";"2";"3.401942775";"25";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Front Raise (Dumbbell)";"3";"3.401942775";"21";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Front Raise (Dumbbell)";"4";"3.401942775";"22";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Bicep Curl (Dumbbell)";"1";"3.401942775";"25";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Bicep Curl (Dumbbell)";"2";"3.401942775";"25";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Bicep Curl (Dumbbell)";"3";"3.401942775";"16";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Bicep Curl (Dumbbell)";"4";"3.401942775";"22";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Tricep Curl ";"1";"69.490351084";"15";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Tricep Curl ";"2";"69.490351084";"10";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Tricep Curl ";"3";"69.490351084";"12";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Tricep Curl ";"4";"69.490351084";"15";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pistol Squat";"1";"69.490351084";"13";"";"";"";"";""
"9";"2020-06-17 15:45:04";"Hypertrophy 2: 20-25";"4560";"Pistol Squat";"2";"69.490351084";"16";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Push Up";"1";"70.17073963899999";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Push Up";"2";"70.17073963899999";"4";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Push Up";"3";"70.17073963899999";"4";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Push Up";"4";"70.17073963899999";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Inverted Row (Bodyweight)";"1";"";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Inverted Row (Bodyweight)";"2";"";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Inverted Row (Bodyweight)";"3";"";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Inverted Row (Bodyweight)";"4";"";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Lateral Raise (Dumbbell)";"1";"9.071847400000001";"5";"";"";"";"";""
"10";"2020-06-19 08:32:12";"Hypertrophy 1: 3-5";"3841";"Lateral Raise (Dumbbell)";"2";"9.071847400000001";"5";"";"";"";"";""
